lon,lat,val
138.422,23.89,290.124
138.424,23.911,85.181
138.426,23.932,95.408
124.488,23.99,359.635
124.609,23.989,63.492
124.629,23.989,59.554
124.649,23.989,52.605
124.669,23.989,49.537
124.689,23.989,99.943
124.709,23.989,287.802
124.729,23.989,290.756
124.749,23.989,277.846
124.97,23.988,114.884
124.99,23.987,29.825
125.01,23.987,150.448
125.03,23.987,163.928
125.05,23.987,150.473
125.07,23.987,125.969
125.09,23.987,118.809
125.11,23.987,14.034
125.13,23.987,170.51
124.447,24.011,312.077
124.467,24.011,312.077
124.508,24.011,271.727
124.528,24.011,29.82
124.548,24.011,55.975
124.568,24.01,287.847
124.588,24.01,271.697
124.608,24.01,314.975
124.949,24.009,46.364
124.969,24.008,46.382
124.989,24.008,46.367
125.009,24.008,42.881
125.029,24.008,156.836
125.049,24.008,150.452
125.069,24.008,131.911
125.089,24.008,131.935
125.109,24.008,170.51
125.129,24.008,170.504
124.447,24.032,359.635
124.467,24.032,301.564
124.487,24.032,301.557
124.507,24.032,276.722
124.527,24.032,42.978
124.547,24.031,62.501
124.567,24.031,276.723
124.587,24.031,308.878
124.848,24.03,240.79
124.868,24.03,240.79
124.948,24.029,236.67
124.968,24.029,243.393
124.988,24.029,121.339
125.008,24.029,127.774
125.028,24.029,135.65
125.049,24.029,134.864
125.069,24.029,250.697
125.089,24.029,294.819
125.109,24.029,49.454
125.129,24.029,59.424
124.426,24.053,49.675
124.446,24.053,271.757
124.466,24.053,283.988
124.486,24.053,323.188
124.506,24.053,330.465
124.526,24.052,359.654
124.546,24.052,276.689
124.566,24.052,276.72
124.807,24.051,59.011
124.827,24.051,229.537
124.847,24.051,235.946
124.867,24.051,271.545
124.887,24.051,283.774
124.908,24.05,294.891
124.928,24.05,283.813
124.948,24.05,143.113
124.968,24.05,84.336
124.988,24.05,138.915
125.008,24.05,143.098
125.048,24.05,243.378
125.068,24.05,245.159
125.088,24.05,271.433
125.108,24.05,53.937
125.128,24.049,59.456
124.405,24.074,54.898
124.425,24.074,56.046
124.445,24.074,330.47
124.465,24.074,359.654
124.485,24.074,271.741
124.505,24.073,359.654
124.526,24.073,359.642
124.546,24.073,343.909
124.566,24.073,24.527
124.807,24.072,67.616
124.827,24.072,247.628
124.847,24.072,52.588
124.867,24.072,229.611
124.887,24.071,271.528
124.907,24.071,229.508
124.927,24.071,311.975
124.947,24.071,91.547
124.967,24.071,80.45
124.987,24.071,135.214
125.007,24.071,247.564
125.027,24.071,234.736
125.047,24.071,236.657
125.067,24.071,236.634
125.087,24.071,49.472
125.107,24.07,79.005
125.128,24.07,75.043
125.148,24.07,192.659
124.384,24.095,72.265
124.404,24.095,59.67
124.424,24.095,265.483
124.445,24.095,284.045
124.465,24.095,271.679
124.485,24.094,283.978
124.505,24.094,359.643
124.525,24.094,359.654
124.545,24.094,343.884
124.565,24.094,304.385
124.806,24.093,333.176
124.826,24.093,243.455
124.846,24.093,49.524
124.866,24.092,161.824
124.886,24.092,131.955
124.906,24.092,131.891
124.926,24.092,209.892
124.946,24.092,209.863
124.966,24.092,189.007
124.987,24.092,170.488
125.007,24.092,170.492
125.027,24.092,359.703
125.047,24.092,6.234
125.067,24.092,229.493
125.087,24.091,276.475
125.107,24.091,309.042
125.127,24.091,305.896
125.147,24.091,171.638
124.283,24.117,287.97
124.303,24.116,280.085
124.323,24.116,340.986
124.343,24.116,39.098
124.363,24.116,132.107
124.384,24.116,72.243
124.404,24.116,59.682
124.424,24.116,252.239
124.444,24.116,359.65
124.464,24.116,295.125
124.484,24.115,287.839
124.524,24.115,15.72
124.544,24.115,359.642
124.564,24.115,359.654
124.805,24.114,335.477
124.886,24.113,67.635
124.906,24.113,359.698
124.926,24.113,247.57
124.946,24.113,240.846
124.966,24.113,179.69
124.986,24.113,168.989
125.006,24.113,163.909
125.026,24.113,166.935
125.046,24.113,233.366
125.066,24.112,186.242
125.086,24.112,276.472
125.106,24.112,318.115
125.126,24.112,311.892
124.282,24.137,335.493
124.302,24.137,257.685
124.323,24.137,340.984
124.343,24.137,49.636
124.363,24.137,312.103
124.383,24.137,104.037
124.403,24.137,67.773
124.423,24.137,247.764
124.443,24.137,266.753
124.463,24.136,46.125
124.483,24.136,255.326
124.503,24.136,330.468
124.805,24.135,235.939
124.905,24.134,271.569
124.925,24.134,283.787
124.945,24.134,247.646
124.965,24.134,217.637
124.985,24.134,179.704
125.005,24.134,179.7
125.025,24.134,187.855
125.046,24.133,214.68
125.066,24.133,304.252
125.086,24.133,278.584
125.106,24.133,271.48
125.126,24.133,271.449
124.121,24.159,209.887
124.141,24.159,179.619
124.161,24.159,179.618
124.181,24.159,229.675
124.201,24.159,229.696
124.221,24.159,229.696
124.241,24.159,166.891
124.262,24.158,312.065
124.282,24.158,359.631
124.302,24.158,359.633
124.322,24.158,72.302
124.342,24.158,52.735
124.382,24.158,98.878
124.402,24.158,77.624
124.422,24.158,70.945
124.442,24.157,49.639
124.463,24.157,46.511
124.483,24.157,261.753
124.503,24.157,278.854
124.904,24.155,278.665
124.924,24.155,279.81
124.945,24.155,237.712
124.965,24.155,247.625
124.985,24.155,263.213
125.005,24.155,166.925
125.025,24.154,163.898
125.045,24.154,179.701
125.065,24.154,173.216
125.085,24.154,186.242
125.105,24.154,198.803
125.125,24.154,209.864
137.756,24.215,180.898
119.831,24.22,221.506
119.851,24.22,219.995
124.1,24.18,179.595
124.12,24.18,271.982
124.16,24.18,271.982
124.2,24.18,179.618
124.221,24.18,91.906
124.261,24.179,160.967
124.281,24.179,179.633
124.301,24.179,173.158
124.321,24.179,67.819
124.341,24.179,312.086
124.361,24.179,132.096
124.381,24.179,60.986
124.401,24.179,72.28
124.422,24.178,83.416
124.442,24.178,59.151
124.884,24.176,26.981
124.904,24.176,283.794
124.924,24.176,279.806
124.944,24.176,204.582
124.964,24.176,186.24
124.984,24.176,195.749
125.004,24.175,127.734
125.024,24.175,138.096
125.044,24.175,6.964
125.064,24.175,187.867
125.084,24.175,173.217
125.105,24.175,171.618
125.125,24.175,153.967
119.809,24.241,216.036
119.829,24.241,226.279
119.849,24.241,230.423
119.87,24.241,225.64
124.2,24.201,104.089
124.22,24.201,91.828
124.24,24.2,91.859
124.26,24.2,209.913
124.28,24.2,179.619
124.3,24.2,271.752
124.32,24.2,81.861
124.361,24.2,132.083
