lon,lat,val
138.422,23.89,0.256
138.424,23.911,0.406
138.426,23.932,0.405
124.488,23.99,0.106
124.609,23.989,0.449
124.629,23.989,0.466
124.649,23.989,0.505
124.669,23.989,0.527
124.689,23.989,0.246
124.709,23.989,0.382
124.729,23.989,0.432
124.749,23.989,0.326
124.97,23.988,0.267
124.99,23.987,0.402
125.01,23.987,0.165
125.03,23.987,0.148
125.05,23.987,0.248
125.07,23.987,0.25
125.09,23.987,0.231
125.11,23.987,0.326
125.13,23.987,0.252
124.447,24.011,0.109
124.467,24.011,0.109
124.508,24.011,0.404
124.528,24.011,0.161
124.548,24.011,0.242
124.568,24.01,0.255
124.588,24.01,0.404
124.608,24.01,0.516
124.949,24.009,0.499
124.969,24.008,0.499
124.989,24.008,0.499
125.009,24.008,0.472
125.029,24.008,0.311
125.049,24.008,0.413
125.069,24.008,0.272
125.089,24.008,0.327
125.109,24.008,0.252
125.129,24.008,0.252
124.447,24.032,0.106
124.467,24.032,0.143
124.487,24.032,0.143
124.507,24.032,0.407
124.527,24.032,0.235
124.547,24.031,0.363
124.567,24.031,0.407
124.587,24.031,0.469
124.848,24.03,0.277
124.868,24.03,0.277
124.948,24.029,0.433
124.968,24.029,0.45
124.988,24.029,0.427
125.008,24.029,0.359
125.028,24.029,0.406
125.049,24.029,0.515
125.069,24.029,0.299
125.089,24.029,0.267
125.109,24.029,0.37
125.129,24.029,0.467
124.426,24.053,0.105
124.446,24.053,0.242
124.466,24.053,0.167
124.486,24.053,0.136
124.506,24.053,0.166
124.526,24.052,0.142
124.546,24.052,0.407
124.566,24.052,0.407
124.807,24.051,0.328
124.827,24.051,0.264
124.847,24.051,0.243
124.867,24.051,0.364
124.887,24.051,0.166
124.908,24.05,0.268
124.928,24.05,0.166
124.948,24.05,0.406
124.968,24.05,0.284
124.988,24.05,0.432
125.008,24.05,0.406
125.048,24.05,0.45
125.068,24.05,0.399
125.088,24.05,0.323
125.108,24.05,0.348
125.128,24.049,0.467
124.405,24.074,0.295
124.425,24.074,0.242
124.445,24.074,0.083
124.465,24.074,0.142
124.485,24.074,0.404
124.505,24.073,0.142
124.526,24.073,0.142
124.546,24.073,0.149
124.566,24.073,0.192
124.807,24.072,0.436
124.827,24.072,0.436
124.847,24.072,0.506
124.867,24.072,0.106
124.887,24.071,0.121
124.907,24.071,0.159
124.927,24.071,0.546
124.947,24.071,0.323
124.967,24.071,0.368
124.987,24.071,0.461
125.007,24.071,0.262
125.027,24.071,0.296
125.047,24.071,0.434
125.067,24.071,0.434
125.087,24.071,0.529
125.107,24.07,0.329
125.128,24.07,0.376
125.148,24.07,0.361
124.384,24.095,0.423
124.404,24.095,0.466
124.424,24.095,0.324
124.445,24.095,0.167
124.465,24.095,0.162
124.485,24.094,0.167
124.505,24.094,0.142
124.525,24.094,0.142
124.545,24.094,0.149
124.565,24.094,0.197
124.806,24.093,0.362
124.826,24.093,0.45
124.846,24.093,0.423
124.866,24.092,0.263
124.886,24.092,0.055
124.906,24.092,0.055
124.926,24.092,0.08
124.946,24.092,0.161
124.966,24.092,0.25
124.987,24.092,0.252
125.007,24.092,0.252
125.027,24.092,0.319
125.047,24.092,0.355
125.067,24.092,0.529
125.087,24.091,0.407
125.107,24.091,0.522
125.127,24.091,0.5
125.147,24.091,0.287
124.283,24.117,0.255
124.303,24.116,0.247
124.323,24.116,0.379
124.343,24.116,0.445
124.363,24.116,0.548
124.384,24.116,0.423
124.404,24.116,0.466
124.424,24.116,0.423
124.444,24.116,0.106
124.464,24.116,0.09
124.484,24.115,0.128
124.524,24.115,0.146
124.544,24.115,0.142
124.564,24.115,0.142
124.805,24.114,0.394
124.886,24.113,0.087
124.906,24.113,0.106
124.926,24.113,0.087
124.946,24.113,0.138
124.966,24.113,0.212
124.986,24.113,0.217
125.006,24.113,0.297
125.026,24.113,0.366
125.046,24.113,0.401
125.066,24.112,0.355
125.086,24.112,0.407
125.106,24.112,0.487
125.126,24.112,0.545
124.282,24.137,0.395
124.302,24.137,0.289
124.323,24.137,0.379
124.343,24.137,0.527
124.363,24.137,0.548
124.383,24.137,0.167
124.403,24.137,0.174
124.423,24.137,0.348
124.443,24.137,0.405
124.463,24.136,0.446
124.483,24.136,0.25
124.503,24.136,0.166
124.805,24.135,0.486
124.905,24.134,0.283
124.925,24.134,0.167
124.945,24.134,0.087
124.965,24.134,0.131
124.985,24.134,0.177
125.005,24.134,0.248
125.025,24.134,0.285
125.046,24.133,0.211
125.066,24.133,0.196
125.086,24.133,0.286
125.106,24.133,0.404
125.126,24.133,0.404
124.121,24.159,0.08
124.141,24.159,0.071
124.161,24.159,0.035
124.181,24.159,0.053
124.201,24.159,0.053
124.221,24.159,0.053
124.241,24.159,0.367
124.262,24.158,0.11
124.282,24.158,0.284
124.302,24.158,0.355
124.322,24.158,0.212
124.342,24.158,0.505
124.382,24.158,0.287
124.402,24.158,0.289
124.422,24.158,0.299
124.442,24.157,0.317
124.463,24.157,0.498
124.483,24.157,0.408
124.503,24.157,0.287
124.904,24.155,0.286
124.924,24.155,0.246
124.945,24.155,0.191
124.965,24.155,0.174
124.985,24.155,0.244
125.005,24.155,0.183
125.025,24.154,0.148
125.045,24.154,0.141
